time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-11-05 13:20:28.499339,"21 days, 0:25:31.860000",OFF,MODE_10W_DESKTOP,28,20,16,22,OFF,OFF,0,0,0,678308,678308,456,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,42.5,42.6,2894,4590
2021-11-05 13:20:28.500966,"21 days, 0:25:31.870000",OFF,MODE_10W_DESKTOP,28,20,16,22,OFF,OFF,0,0,0,678308,678308,456,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,42.5,42.6,2894,4590
2021-11-05 13:20:29.045364,"21 days, 0:25:32.410000",OFF,MODE_10W_DESKTOP,50,19,61,14,OFF,OFF,0,1,1,696708,696708,454,150,OFF,OFF,OFF,0.0,42.5,41.5,44.0,42.5,42.55,4484,4484
2021-11-05 13:20:29.590512,"21 days, 0:25:32.960000",OFF,MODE_10W_DESKTOP,18,22,30,35,OFF,OFF,0,0,0,697280,697280,454,150,OFF,OFF,OFF,0.0,42.5,41.5,43.5,42.5,42.55,3628,4056
2021-11-05 13:20:30.100583,"21 days, 0:25:33.470000",OFF,MODE_10W_DESKTOP,33,26,19,46,OFF,OFF,0,1,1,708192,708192,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,42.5,42.6,3995,4035
2021-11-05 13:20:30.612740,"21 days, 0:25:33.980000",OFF,MODE_10W_DESKTOP,4,7,70,19,OFF,OFF,0,0,0,723196,723196,454,150,OFF,OFF,OFF,0.0,42.5,41.5,43.5,42.5,42.6,4036,4035
2021-11-05 13:20:31.123358,"21 days, 0:25:34.490000",OFF,MODE_10W_DESKTOP,64,71,100,61,OFF,OFF,0,3,3,747432,747432,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,42.5,42.55,5063,4241
2021-11-05 13:20:31.638224,"21 days, 0:25:35",OFF,MODE_10W_DESKTOP,25,19,33,53,OFF,OFF,0,0,0,764184,764184,454,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,42.5,42.55,4647,4308
2021-11-05 13:20:32.154066,"21 days, 0:25:35.520000",OFF,MODE_10W_DESKTOP,22,8,61,6,OFF,OFF,0,0,0,769716,769716,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,43.0,42.55,4484,4333
2021-11-05 13:20:32.667338,"21 days, 0:25:36.030000",OFF,MODE_10W_DESKTOP,12,5,13,61,OFF,OFF,0,0,0,778188,778188,454,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,42.5,42.75,4158,4311
2021-11-05 13:20:33.183306,"21 days, 0:25:36.550000",OFF,MODE_10W_DESKTOP,23,17,43,48,OFF,OFF,0,0,0,787196,787196,454,150,OFF,OFF,OFF,0.0,42.5,41.5,43.5,42.5,42.75,4321,4312
2021-11-05 13:20:33.700201,"21 days, 0:25:37.060000",OFF,MODE_10W_DESKTOP,22,16,24,60,OFF,OFF,0,0,0,795460,795460,454,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,42.5,42.4,4362,4317
2021-11-05 13:20:34.216130,"21 days, 0:25:37.580000",OFF,MODE_10W_DESKTOP,15,7,40,52,OFF,OFF,0,0,0,802860,802860,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,42.5,42.4,4239,4310
2021-11-05 13:20:34.723876,"21 days, 0:25:38.090000",OFF,MODE_10W_DESKTOP,13,9,24,54,OFF,OFF,0,0,0,808408,808408,454,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,42.5,42.6,4158,4297
2021-11-05 13:20:35.236750,"21 days, 0:25:38.600000",OFF,MODE_10W_DESKTOP,23,15,94,12,OFF,OFF,0,0,0,821536,821536,454,150,OFF,OFF,OFF,0.0,42.5,42.0,43.5,43.0,42.6,4321,4299
2021-11-05 13:20:35.751512,"21 days, 0:25:39.120000",OFF,MODE_10W_DESKTOP,32,31,62,58,OFF,OFF,0,1,1,834996,834996,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,42.5,42.85,4729,4330
2021-11-05 13:20:36.265134,"21 days, 0:25:39.630000",OFF,MODE_10W_DESKTOP,6,5,4,98,OFF,OFF,0,0,0,842920,842920,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,42.5,42.85,4443,4337
2021-11-05 13:20:36.782291,"21 days, 0:25:40.150000",OFF,MODE_10W_DESKTOP,72,16,24,17,OFF,OFF,0,1,1,1029876,1029876,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,43.0,42.75,4443,4344
2021-11-05 13:20:37.310767,"21 days, 0:25:40.680000",OFF,MODE_10W_DESKTOP,54,44,17,20,OFF,OFF,10,0,0,1166068,1166068,454,150,OFF,OFF,OFF,0.0,43.0,42.0,44.0,43.0,42.75,4443,4350
2021-11-05 13:20:37.829099,"21 days, 0:25:41.190000",OFF,MODE_10W_DESKTOP,59,49,26,13,OFF,OFF,18,0,0,1347588,1347588,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.5,43.0,43.05,4647,4366
2021-11-05 13:20:38.348217,"21 days, 0:25:41.710000",OFF,MODE_10W_DESKTOP,12,92,5,1,OFF,OFF,12,0,0,1555472,1555472,454,150,OFF,OFF,OFF,0.0,43.0,42.0,44.0,43.0,43.05,4484,4372
2021-11-05 13:20:38.858414,"21 days, 0:25:42.220000",OFF,MODE_10W_DESKTOP,14,89,15,21,OFF,OFF,0,0,0,1788724,1788724,454,150,OFF,OFF,OFF,0.0,43.0,42.0,44.5,43.0,43.05,4484,4378
2021-11-05 13:20:39.372644,"21 days, 0:25:42.740000",OFF,MODE_10W_DESKTOP,17,87,23,23,OFF,OFF,10,0,0,1938896,1938896,454,150,OFF,OFF,OFF,0.0,43.0,42.0,44.0,43.0,43.05,4606,4389
2021-11-05 13:20:39.897576,"21 days, 0:25:43.260000",OFF,MODE_10W_DESKTOP,79,19,30,18,OFF,OFF,15,0,0,2138584,2138584,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.5,43.0,43.05,4688,4402
2021-11-05 13:20:40.411348,"21 days, 0:25:43.780000",OFF,MODE_10W_DESKTOP,86,16,2,3,OFF,OFF,33,0,0,2290880,2290880,454,150,OFF,OFF,OFF,0.0,42.5,42.0,44.0,43.0,42.9,4362,4401
2021-11-05 13:20:40.922765,"21 days, 0:25:44.290000",OFF,MODE_10W_DESKTOP,34,65,22,21,OFF,OFF,0,0,0,2504376,2504376,454,150,OFF,OFF,OFF,0.0,43.0,42.5,44.0,43.0,42.9,4443,4402
