time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-11-05 13:23:10.866182,"21 days, 0:28:14.230000",OFF,MODE_10W_DESKTOP,7,0,17,6,OFF,OFF,0,0,0,7658720,7658720,1291,150,OFF,OFF,OFF,0.0,40.0,39.5,41.0,40.0,40.25,4158,6612
2021-11-05 13:23:10.868107,"21 days, 0:28:14.230000",OFF,MODE_10W_DESKTOP,7,0,17,6,OFF,OFF,0,0,0,7658720,7658720,1291,150,OFF,OFF,OFF,0.0,40.0,39.5,41.0,40.0,40.25,4158,6612
2021-11-05 13:23:11.505985,"21 days, 0:28:14.870000",OFF,MODE_10W_DESKTOP,22,13,40,45,OFF,OFF,99,0,0,7371228,7371228,1342,150,OFF,OFF,OFF,0.0,41.5,40.0,42.5,43.0,41.65,10738,10738
2021-11-05 13:23:11.980311,"21 days, 0:28:15.340000",OFF,MODE_10W_DESKTOP,23,20,35,32,OFF,OFF,99,0,0,7369792,7369792,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,42.5,41.65,10126,10432
2021-11-05 13:23:12.495097,"21 days, 0:28:15.860000",OFF,MODE_10W_DESKTOP,17,13,15,19,OFF,OFF,99,0,0,7371540,7371540,1342,150,OFF,OFF,OFF,0.0,41.5,40.0,42.5,42.5,41.5,8738,9867
2021-11-05 13:23:13.006517,"21 days, 0:28:16.370000",OFF,MODE_10W_DESKTOP,2,7,7,4,OFF,OFF,99,0,0,7371388,7371388,1342,150,OFF,OFF,OFF,0.0,41.5,40.0,42.5,43.0,41.5,8248,9462
2021-11-05 13:23:13.518459,"21 days, 0:28:16.880000",OFF,MODE_10W_DESKTOP,17,20,12,15,OFF,OFF,99,0,0,7370444,7370444,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,42.5,41.5,8329,9235
2021-11-05 13:23:14.034086,"21 days, 0:28:17.400000",OFF,MODE_10W_DESKTOP,19,13,13,20,OFF,OFF,99,0,0,7370324,7370324,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,42.5,41.5,8329,9084
2021-11-05 13:23:14.548462,"21 days, 0:28:17.910000",OFF,MODE_10W_DESKTOP,12,12,9,11,OFF,OFF,99,0,0,7372468,7372468,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,43.0,41.5,8697,9029
2021-11-05 13:23:15.070048,"21 days, 0:28:18.430000",OFF,MODE_10W_DESKTOP,9,7,13,9,OFF,OFF,99,0,0,7367328,7367328,1342,150,OFF,OFF,OFF,0.0,42.0,40.5,42.5,43.0,41.85,8207,8926
2021-11-05 13:23:15.583450,"21 days, 0:28:18.950000",OFF,MODE_10W_DESKTOP,19,14,17,19,OFF,OFF,99,0,0,7367504,7367504,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,43.0,41.85,8288,8855
2021-11-05 13:23:16.095198,"21 days, 0:28:19.460000",OFF,MODE_10W_DESKTOP,18,21,18,17,OFF,OFF,0,0,0,7330844,7330844,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,42.0,41.85,6410,8611
2021-11-05 13:23:16.612260,"21 days, 0:28:19.980000",OFF,MODE_10W_DESKTOP,15,33,53,6,OFF,OFF,5,0,0,7331720,7331720,1342,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,42.0,41.85,5308,8310
2021-11-05 13:23:17.183731,"21 days, 0:28:20.550000",OFF,MODE_10W_DESKTOP,47,90,61,40,OFF,OFF,4,2,2,7564512,7564512,1398,150,OFF,OFF,OFF,0.0,41.5,40.5,43.5,41.5,41.85,5798,8101
2021-11-05 13:23:17.764418,"21 days, 0:28:21.130000",OFF,MODE_10W_DESKTOP,44,57,49,78,OFF,OFF,0,2,2,7617924,7617924,1403,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,41.5,41.85,5798,7924
2021-11-05 13:23:18.163257,"21 days, 0:28:21.530000",OFF,MODE_10W_DESKTOP,39,50,34,50,OFF,OFF,0,2,2,7620632,7620632,1403,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,41.5,41.85,5389,7743
2021-11-05 13:23:18.673299,"21 days, 0:28:22.040000",OFF,MODE_10W_DESKTOP,35,66,70,28,OFF,OFF,0,1,1,7474700,7474700,1403,150,OFF,OFF,OFF,0.0,41.5,40.5,43.5,41.5,41.85,5389,7586
2021-11-05 13:23:19.182053,"21 days, 0:28:22.550000",OFF,MODE_10W_DESKTOP,15,20,13,98,OFF,OFF,0,0,0,7403152,7403152,1403,150,OFF,OFF,OFF,0.0,41.5,41.0,42.5,42.0,41.7,4940,7420
2021-11-05 13:23:19.696123,"21 days, 0:28:23.060000",OFF,MODE_10W_DESKTOP,18,20,32,16,OFF,OFF,0,0,0,7434704,7434704,1403,150,OFF,OFF,OFF,0.0,41.5,40.5,42.5,41.5,41.7,4280,7236
2021-11-05 13:23:20.209032,"21 days, 0:28:23.570000",OFF,MODE_10W_DESKTOP,22,26,98,21,OFF,OFF,0,0,0,7435960,7435960,1403,150,OFF,OFF,OFF,0.0,41.5,40.5,43.0,41.5,41.7,4777,7099
2021-11-05 13:23:20.740245,"21 days, 0:28:24.100000",OFF,MODE_10W_DESKTOP,20,8,100,19,OFF,OFF,0,0,0,7423060,7423060,1403,150,OFF,OFF,OFF,0.0,41.5,40.5,43.5,41.5,41.75,4818,6979
2021-11-05 13:23:21.237898,"21 days, 0:28:24.600000",OFF,MODE_10W_DESKTOP,57,64,15,30,OFF,OFF,0,1,1,7436768,7436768,1403,150,OFF,OFF,OFF,0.0,41.5,41.0,43.5,41.5,41.75,4769,6868
2021-11-05 13:23:21.754116,"21 days, 0:28:25.120000",OFF,MODE_10W_DESKTOP,26,48,76,19,OFF,OFF,0,0,0,7440380,7440380,1403,150,OFF,OFF,OFF,0.0,41.5,41.0,43.0,41.5,41.9,4777,6769
2021-11-05 13:23:22.273045,"21 days, 0:28:25.640000",OFF,MODE_10W_DESKTOP,33,40,100,26,OFF,OFF,0,0,0,7458388,7458388,1417,150,OFF,OFF,OFF,0.0,41.5,40.5,43.5,41.5,41.9,5144,6695
